Position,Team,Played,Won,Drawn,Lost,GF,GA,GD,Points
1,Liverpool,10,8,1,1,24,8,16,25
2,Manchester City,10,7,2,1,22,10,12,23
3,Arsenal,10,7,2,1,21,9,12,23
4,Chelsea,10,6,3,1,20,11,9,21
5,Aston Villa,10,6,2,2,19,13,6,20
6,Brighton,10,5,3,2,17,12,5,18
7,Newcastle United,10,5,2,3,16,11,5,17
8,Tottenham Hotspur,10,5,1,4,19,14,5,16
9,Manchester United,10,4,3,3,14,12,2,15
10,Fulham,10,4,2,4,13,13,0,14
11,Brentford,10,3,4,3,15,15,0,13
12,West Ham United,10,3,3,4,13,16,-3,12
13,Bournemouth,10,3,2,5,12,16,-4,11
14,Crystal Palace,10,2,4,4,10,14,-4,10
15,Everton,10,2,3,5,10,15,-5,9
16,Nottingham Forest,10,2,3,5,9,15,-6,9
17,Wolverhampton,10,2,2,6,11,19,-8,8
18,Ipswich Town,10,1,3,6,8,17,-9,6
19,Leicester City,10,1,2,7,9,21,-12,5
20,Southampton,10,0,2,8,6,22,-16,2
